"","BR-A-Control_counts.txt","BR-A-Mutant_counts.txt","BR-B-Control_counts.txt","BR-B-Mutant_counts.txt","BR-C-Control_counts.txt","BR-C-Mutant_counts.txt"
"ENSMUSG00000044217",4,8,3,3,7,7
"ENSMUSG00000044220",0,0,1,0,0,0
"ENSMUSG00000044221",855,969,844,1043,993,898
"ENSMUSG00000044222",0,0,0,0,0,0
"ENSMUSG00000044224",330,421,406,414,370,337
"ENSMUSG00000044227",0,0,0,0,0,0
"ENSMUSG00000044228",0,0,0,0,0,0
"ENSMUSG00000044229",17,45,31,22,22,33
"ENSMUSG00000044231",86,122,107,93,120,107
"ENSMUSG00000044243",0,0,6,2,2,3
"ENSMUSG00000044244",11,23,16,28,19,30
"ENSMUSG00000044248",0,0,0,1,0,0
"ENSMUSG00000044249",0,0,0,0,0,0
"ENSMUSG00000044250",9,11,21,7,19,19
"ENSMUSG00000044252",191,265,245,193,176,270
"ENSMUSG00000044254",7,9,6,5,11,8
"ENSMUSG00000044258",1,0,2,1,3,1
"ENSMUSG00000044265",0,0,1,0,0,0
"ENSMUSG00000044268",85,89,103,84,79,77
"ENSMUSG00000044276",11,10,9,20,6,20
"ENSMUSG00000044279",4,4,0,4,2,5
"ENSMUSG00000044285",0,1,1,2,0,0
"ENSMUSG00000044286",0,3,0,0,0,0
"ENSMUSG00000044287",0,0,0,0,1,0
"ENSMUSG00000044288",4178,4510,3871,4337,3769,4121
"ENSMUSG00000044292",0,0,0,0,0,0
"ENSMUSG00000044293",0,0,0,0,0,0
"ENSMUSG00000044294",0,0,0,0,0,0
"ENSMUSG00000044296",36,34,35,41,43,37
"ENSMUSG00000044303",0,0,1,0,0,0
"ENSMUSG00000044306",0,0,0,0,2,1
"ENSMUSG00000044308",2155,2496,2343,2362,2290,2322
"ENSMUSG00000044309",0,0,0,0,0,0
"ENSMUSG00000044312",0,1,0,1,3,0
"ENSMUSG00000044313",2,2,3,2,4,1
"ENSMUSG00000044317",12,5,15,7,14,15
"ENSMUSG00000044320",6,2,5,2,5,5
"ENSMUSG00000044322",2,0,0,0,0,0
"ENSMUSG00000044328",14,5,14,9,5,8
"ENSMUSG00000044330",15,16,12,21,11,14
"ENSMUSG00000044337",118,158,137,137,107,116
"ENSMUSG00000044338",11,8,11,6,7,20
"ENSMUSG00000044339",19,21,18,25,34,29
"ENSMUSG00000044340",472,439,460,525,380,433
"ENSMUSG00000044341",8,14,17,13,13,7
"ENSMUSG00000044345",34,30,28,16,23,38
"ENSMUSG00000044348",140,177,164,168,161,169
"ENSMUSG00000044349",6749,6860,6487,5527,5622,6815
"ENSMUSG00000044350",14,12,21,3,12,14
"ENSMUSG00000044352",24,25,25,41,24,27
"ENSMUSG00000044359",0,1,0,1,0,0
"ENSMUSG00000044361",51,42,27,46,39,43
"ENSMUSG00000044362",22,18,19,29,15,28
"ENSMUSG00000044364",71,94,70,75,60,83
"ENSMUSG00000044365",2093,2330,2023,2081,2193,2070
"ENSMUSG00000044367",106,107,89,116,87,120
"ENSMUSG00000044373",0,0,2,0,0,0
"ENSMUSG00000044375",0,0,1,0,0,0
"ENSMUSG00000044377",19,14,12,16,7,9
"ENSMUSG00000044378",0,0,0,0,0,0
"ENSMUSG00000044387",0,0,0,0,0,0
"ENSMUSG00000044390",23,17,28,30,33,32
"ENSMUSG00000044393",1,3,3,9,6,3
"ENSMUSG00000044400",0,0,1,1,0,0
"ENSMUSG00000044405",2,0,2,0,0,2
"ENSMUSG00000044407",0,0,0,4,1,2
"ENSMUSG00000044408",123,121,111,150,109,107
"ENSMUSG00000044424",1,0,0,0,1,2
"ENSMUSG00000044429",0,0,0,0,0,0
"ENSMUSG00000044430",1,2,0,0,2,0
"ENSMUSG00000044433",609,590,519,627,530,620
"ENSMUSG00000044434",44,34,35,42,43,41
"ENSMUSG00000044441",0,0,1,0,0,0
"ENSMUSG00000044442",151,183,149,190,200,180
"ENSMUSG00000044444",2,0,0,2,0,0
"ENSMUSG00000044447",5,6,11,15,15,3
"ENSMUSG00000044452",354,353,350,461,381,363
"ENSMUSG00000044453",0,0,0,0,0,0
"ENSMUSG00000044454",0,0,0,0,0,0
"ENSMUSG00000044456",3,3,2,3,2,6
"ENSMUSG00000044457",0,0,0,0,0,0
"ENSMUSG00000044461",66,72,84,93,64,84
"ENSMUSG00000044465",182,220,168,206,190,216
"ENSMUSG00000044468",20,7,12,7,9,5
"ENSMUSG00000044469",29,50,32,68,56,43
"ENSMUSG00000044471",1,1,1,0,1,1
"ENSMUSG00000044475",78,90,102,102,87,88
"ENSMUSG00000044477",592,578,522,696,529,564
"ENSMUSG00000044480",4,5,3,1,4,7
"ENSMUSG00000044485",0,0,0,0,0,0
"ENSMUSG00000044487",0,0,0,0,0,0
"ENSMUSG00000044496",202,231,160,252,174,181
"ENSMUSG00000044499",291,353,292,420,381,330
"ENSMUSG00000044501",64,77,46,60,72,50
"ENSMUSG00000044502",228,274,255,308,253,262
"ENSMUSG00000044505",22,35,21,21,12,28
"ENSMUSG00000044513",4,6,7,10,7,2
"ENSMUSG00000044515",0,0,0,0,0,0
"ENSMUSG00000044518",0,0,0,0,0,0
"ENSMUSG00000044519",2,1,9,2,1,5
"ENSMUSG00000044522",1,0,0,0,0,0
"ENSMUSG00000044526",0,1,0,0,0,0
"ENSMUSG00000044528",625,739,571,792,715,624
"ENSMUSG00000044533",37,41,16,38,42,38
"ENSMUSG00000044534",5,3,2,1,1,1
"ENSMUSG00000044537",0,0,0,0,0,0
"ENSMUSG00000044538",0,0,0,0,0,0
"ENSMUSG00000044542",0,0,0,0,0,0
"ENSMUSG00000044544",0,0,0,0,0,0
"ENSMUSG00000044548",1054,1322,1010,1201,1105,1074
"ENSMUSG00000044550",39,46,36,44,33,36
"ENSMUSG00000044551",9,17,15,23,19,11
"ENSMUSG00000044556",2,2,2,3,1,4
"ENSMUSG00000044560",0,0,0,0,0,0
"ENSMUSG00000044562",46,69,54,57,62,62
"ENSMUSG00000044566",62,66,53,57,30,38
"ENSMUSG00000044573",69,101,77,85,76,98
"ENSMUSG00000044574",6,0,0,1,0,0
"ENSMUSG00000044576",236,228,223,239,201,223
"ENSMUSG00000044581",0,0,0,0,0,0
"ENSMUSG00000044583",0,1,0,0,2,0
"ENSMUSG00000044594",0,0,0,0,0,0
"ENSMUSG00000044595",19,9,8,17,14,7
"ENSMUSG00000044597",0,0,0,0,0,0
"ENSMUSG00000044600",972,1005,783,1166,840,907
"ENSMUSG00000044609",1,1,0,0,0,0
"ENSMUSG00000044617",603,637,589,842,727,660
"ENSMUSG00000044624",3,2,0,0,0,3
"ENSMUSG00000044626",0,1,4,0,3,0
"ENSMUSG00000044627",250,266,208,298,215,242
"ENSMUSG00000044628",235,221,191,281,191,266
"ENSMUSG00000044629",405,460,409,430,366,484
"ENSMUSG00000044633",0,0,0,0,0,0
"ENSMUSG00000044636",1205,1326,1302,1530,1356,1242
"ENSMUSG00000044639",11,10,8,5,13,5
"ENSMUSG00000044641",425,437,354,502,530,371
"ENSMUSG00000044645",8,7,10,7,11,7
"ENSMUSG00000044646",184,196,186,174,183,195
"ENSMUSG00000044647",4722,4849,4565,5028,4566,4455
"ENSMUSG00000044649",0,0,0,0,0,0
"ENSMUSG00000044664",2,0,5,0,0,0
"ENSMUSG00000044667",69,108,68,35,47,83
"ENSMUSG00000044674",176,199,209,249,210,191
"ENSMUSG00000044676",310,355,375,410,320,314
"ENSMUSG00000044678",0,0,1,0,0,0
"ENSMUSG00000044681",42,16,23,25,36,25
"ENSMUSG00000044689",0,0,0,1,1,0
"ENSMUSG00000044690",0,0,1,0,0,0
"ENSMUSG00000044694",0,0,0,0,0,0
"ENSMUSG00000044697",1,0,0,0,2,0
"ENSMUSG00000044700",682,788,727,787,618,702
"ENSMUSG00000044701",0,0,0,0,0,0
"ENSMUSG00000044702",48,49,42,58,44,63
"ENSMUSG00000044703",1,0,0,0,0,0
"ENSMUSG00000044705",0,0,0,0,0,0
"ENSMUSG00000044707",134,121,103,167,136,140
"ENSMUSG00000044708",10,16,10,9,14,6
"ENSMUSG00000044709",95,77,75,93,71,94
"ENSMUSG00000044712",144,120,148,102,116,150
"ENSMUSG00000044715",122,131,125,163,170,163
"ENSMUSG00000044716",31,44,21,30,25,42
"ENSMUSG00000044719",3,0,1,1,0,4
"ENSMUSG00000044724",1,6,0,2,3,1
"ENSMUSG00000044726",2,5,3,4,3,4
"ENSMUSG00000044730",138,192,104,164,162,174
"ENSMUSG00000044734",0,2,1,3,1,3
"ENSMUSG00000044737",0,0,1,3,1,0
"ENSMUSG00000044743",0,0,0,0,0,0
"ENSMUSG00000044744",25,36,10,21,26,16
"ENSMUSG00000044748",0,0,0,0,1,0
"ENSMUSG00000044749",9,6,6,7,3,5
"ENSMUSG00000044751",125,123,116,135,121,130
"ENSMUSG00000044757",0,0,0,0,0,0
"ENSMUSG00000044763",356,363,382,378,374,329
"ENSMUSG00000044768",213,235,205,232,203,208
"ENSMUSG00000044770",147,138,138,160,123,157
"ENSMUSG00000044772",0,0,0,0,0,0
"ENSMUSG00000044783",812,858,986,1127,972,1119
"ENSMUSG00000044786",72,52,43,93,47,74
"ENSMUSG00000044787",4,7,5,1,2,9
"ENSMUSG00000044788",70,53,48,36,30,55
"ENSMUSG00000044791",3077,3322,3172,3349,3057,3187
"ENSMUSG00000044792",85,82,74,86,114,113
"ENSMUSG00000044794",389,487,425,570,405,471
"ENSMUSG00000044795",11,18,8,12,15,14
"ENSMUSG00000044798",0,0,0,0,0,0
"ENSMUSG00000044801",0,0,0,0,0,0
"ENSMUSG00000044807",1741,1884,1681,1922,1737,1586
"ENSMUSG00000044811",0,0,0,0,0,1
"ENSMUSG00000044813",70,70,55,71,67,77
"ENSMUSG00000044814",14,18,20,10,3,8
"ENSMUSG00000044816",1,0,1,1,0,3
"ENSMUSG00000044819",0,0,1,2,0,0
"ENSMUSG00000044820",1,0,0,0,0,4
"ENSMUSG00000044824",0,0,0,0,1,0
"ENSMUSG00000044827",0,1,0,0,0,0
"ENSMUSG00000044835",113,110,112,104,71,103
"ENSMUSG00000044847",630,698,661,730,687,668
"ENSMUSG00000044854",4,9,5,8,7,7
"ENSMUSG00000044857",117,144,123,154,147,122
"ENSMUSG00000044860",1,3,5,4,3,4
"ENSMUSG00000044863",0,0,0,0,0,0
"ENSMUSG00000044864",1351,1309,1172,1594,1250,1357
"ENSMUSG00000044867",0,0,0,5,0,3
"ENSMUSG00000044876",140,116,124,169,146,134
"ENSMUSG00000044881",51,48,47,76,48,50
"ENSMUSG00000044887",1,0,0,1,1,1
"ENSMUSG00000044894",190,187,131,217,142,199
"ENSMUSG00000044897",0,0,0,0,0,0
"ENSMUSG00000044899",0,0,0,0,0,0
"ENSMUSG00000044903",0,0,0,0,0,0
"ENSMUSG00000044906",219,192,201,207,254,217
"ENSMUSG00000044912",660,790,694,570,591,587
"ENSMUSG00000044916",30,34,26,33,28,36
"ENSMUSG00000044921",3,2,0,0,0,0
"ENSMUSG00000044923",0,0,0,0,1,0
"ENSMUSG00000044927",10,17,9,24,13,10
"ENSMUSG00000044933",26,18,21,12,34,13
"ENSMUSG00000044934",30,33,22,28,18,11
"ENSMUSG00000044937",84,81,77,91,83,60
"ENSMUSG00000044938",1,4,5,0,1,6
"ENSMUSG00000044948",11,16,16,16,16,11
"ENSMUSG00000044949",364,475,421,454,461,421
"ENSMUSG00000044950",728,765,704,731,727,658
"ENSMUSG00000044951",0,5,1,0,0,0
"ENSMUSG00000044952",108,105,89,110,91,102
"ENSMUSG00000044957",27,32,24,35,43,21
"ENSMUSG00000044966",11,7,6,11,8,9
"ENSMUSG00000044968",182,178,174,203,195,160
"ENSMUSG00000044976",2,5,4,1,0,1
"ENSMUSG00000044982",184,223,183,205,190,193
"ENSMUSG00000044985",0,0,0,0,0,0
"ENSMUSG00000044986",8,0,1,1,4,4
"ENSMUSG00000044988",0,0,0,0,0,0
"ENSMUSG00000044991",50,54,46,73,50,52
"ENSMUSG00000044994",0,0,0,1,0,0
"ENSMUSG00000044997",1,1,0,1,4,2
"ENSMUSG00000045004",1,1,2,2,0,1
"ENSMUSG00000045005",19,26,22,24,17,14
"ENSMUSG00000045007",61,69,55,71,47,70
"ENSMUSG00000045008",47,48,43,58,47,41
"ENSMUSG00000045009",37,62,55,44,40,56
"ENSMUSG00000045010",0,0,0,0,1,0
"ENSMUSG00000045013",0,0,0,0,0,0
"ENSMUSG00000045019",1,0,3,0,0,0
"ENSMUSG00000045022",0,0,2,0,0,0
"ENSMUSG00000045027",1,0,0,0,1,0
"ENSMUSG00000045030",0,0,0,0,0,0
"ENSMUSG00000045031",7,10,6,5,11,18
"ENSMUSG00000045034",90,89,84,86,55,75
"ENSMUSG00000045036",4,8,5,4,3,9
"ENSMUSG00000045038",681,534,552,585,547,548
"ENSMUSG00000045039",754,834,692,890,658,824
"ENSMUSG00000045045",265,282,211,315,259,281
"ENSMUSG00000045048",4,3,3,1,2,4
"ENSMUSG00000045052",1,3,0,2,3,7
"ENSMUSG00000045053",34,40,22,31,22,21
"ENSMUSG00000045055",0,0,0,0,0,0
"ENSMUSG00000045062",138,134,121,107,112,126
"ENSMUSG00000045064",45,37,38,36,40,25
"ENSMUSG00000045065",5,0,1,4,0,2
"ENSMUSG00000045066",0,0,0,0,0,0
"ENSMUSG00000045071",2267,2394,2263,2594,2374,2350
"ENSMUSG00000045075",4,2,7,2,1,3
"ENSMUSG00000045078",431,430,375,515,447,447
"ENSMUSG00000045083",179,275,195,166,191,212
"ENSMUSG00000045087",52,56,50,76,56,60
"ENSMUSG00000045091",0,0,0,0,0,0
"ENSMUSG00000045092",20,18,13,15,12,11
"ENSMUSG00000045094",18,17,10,13,10,9
"ENSMUSG00000045095",1009,1102,1086,993,951,1050
"ENSMUSG00000045098",2213,2290,2055,2292,1960,2072
"ENSMUSG00000045100",45,44,53,56,45,46
"ENSMUSG00000045102",1,1,3,4,6,2
"ENSMUSG00000045103",1013,1222,1070,1225,1455,1069
"ENSMUSG00000045104",113,129,93,127,106,120
"ENSMUSG00000045106",108,131,148,112,106,109
"ENSMUSG00000045107",47,47,23,41,22,45
"ENSMUSG00000045109",0,0,0,0,0,0
"ENSMUSG00000045110",0,0,0,0,0,0
"ENSMUSG00000045111",0,0,0,1,0,0
"ENSMUSG00000045114",4,2,7,7,5,16
"ENSMUSG00000045126",0,0,0,0,0,0
"ENSMUSG00000045128",32,24,39,40,58,34
"ENSMUSG00000045132",0,0,0,0,0,0
"ENSMUSG00000045136",385,411,371,418,391,415
"ENSMUSG00000045140",55,84,59,83,38,68
"ENSMUSG00000045148",0,0,0,0,0,0
"ENSMUSG00000045149",16,20,6,29,26,26
"ENSMUSG00000045150",0,0,0,0,1,0
"ENSMUSG00000045160",51,44,40,35,40,37
"ENSMUSG00000045165",0,0,0,0,0,0
"ENSMUSG00000045174",342,380,326,406,327,379
"ENSMUSG00000045176",83,108,61,119,100,85
"ENSMUSG00000045178",12,15,18,13,10,15
"ENSMUSG00000045179",3,3,6,5,6,4
"ENSMUSG00000045180",779,832,859,704,532,764
"ENSMUSG00000045193",412,628,411,611,470,483
"ENSMUSG00000045201",7,9,16,11,14,15
"ENSMUSG00000045202",0,0,0,0,0,0
"ENSMUSG00000045204",0,0,0,0,0,0
"ENSMUSG00000045205",768,805,748,623,694,717
"ENSMUSG00000045210",1456,1615,1524,1578,1476,1402
"ENSMUSG00000045211",51,70,44,78,40,53
"ENSMUSG00000045215",3377,3366,3251,3680,3431,3355
"ENSMUSG00000045216",901,977,708,1013,829,939
"ENSMUSG00000045217",0,0,1,0,0,0
"ENSMUSG00000045225",0,0,0,0,0,0
"ENSMUSG00000045231",15,9,10,20,15,13
"ENSMUSG00000045232",0,0,0,0,0,0
"ENSMUSG00000045236",0,0,0,0,0,0
"ENSMUSG00000045237",19,14,20,31,22,20
"ENSMUSG00000045238",0,0,0,0,0,0
"ENSMUSG00000045246",0,1,3,4,1,0
"ENSMUSG00000045248",104,116,82,146,122,79
"ENSMUSG00000045251",49,44,42,82,48,54
"ENSMUSG00000045252",482,432,435,548,482,432
"ENSMUSG00000045257",36,36,31,41,27,38
"ENSMUSG00000045259",11,8,5,13,14,11
"ENSMUSG00000045267",0,0,0,0,0,0
"ENSMUSG00000045268",103,79,84,137,111,93
"ENSMUSG00000045273",15,26,15,16,16,18
"ENSMUSG00000045275",92,112,86,99,83,105
"ENSMUSG00000045281",0,0,0,1,1,0
"ENSMUSG00000045282",209,189,182,242,215,203
"ENSMUSG00000045284",60,29,28,38,35,26
"ENSMUSG00000045287",130,148,146,214,161,151
"ENSMUSG00000045288",0,2,7,0,0,1
"ENSMUSG00000045291",0,0,0,1,0,0
"ENSMUSG00000045294",230,203,195,170,162,193
"ENSMUSG00000045302",586,563,472,628,518,507
"ENSMUSG00000045306",0,0,0,0,0,0
"ENSMUSG00000045312",59,62,56,42,47,70
"ENSMUSG00000045314",4,0,0,0,0,0
"ENSMUSG00000045316",90,74,69,99,91,83
"ENSMUSG00000045318",6,8,2,2,1,2
"ENSMUSG00000045319",5,3,2,0,1,0
"ENSMUSG00000045322",5,4,3,3,2,1
"ENSMUSG00000045326",1,1,3,0,1,1
"ENSMUSG00000045327",215,200,183,236,197,198
"ENSMUSG00000045328",67,69,60,49,47,65
"ENSMUSG00000045330",0,0,0,0,0,0
"ENSMUSG00000045331",0,0,0,0,0,0
"ENSMUSG00000045333",1510,1474,1525,1717,1539,1437
"ENSMUSG00000045336",0,0,0,0,0,0
"ENSMUSG00000045337",0,0,0,0,0,0
"ENSMUSG00000045339",3,0,1,1,0,0
"ENSMUSG00000045340",0,0,0,0,0,0
"ENSMUSG00000045341",0,0,0,0,0,0
"ENSMUSG00000045345",5,2,3,2,3,5
"ENSMUSG00000045348",204,286,207,356,270,269
"ENSMUSG00000045349",177,171,166,205,143,174
"ENSMUSG00000045350",0,0,0,0,0,1
"ENSMUSG00000045362",0,1,1,1,0,1
"ENSMUSG00000045364",0,0,2,0,0,0
"ENSMUSG00000045365",362,307,268,363,302,357
"ENSMUSG00000045374",135,135,139,187,123,122
"ENSMUSG00000045377",14,10,4,16,19,13
"ENSMUSG00000045378",0,0,0,0,0,0
"ENSMUSG00000045381",0,0,1,0,0,0
"ENSMUSG00000045382",42,39,37,44,32,50
"ENSMUSG00000045391",2,4,1,0,2,1
"ENSMUSG00000045392",0,1,1,0,0,0
"ENSMUSG00000045394",10,20,11,16,5,4
"ENSMUSG00000045395",0,0,0,0,0,0
"ENSMUSG00000045404",3,5,1,0,0,0
"ENSMUSG00000045409",635,710,624,728,590,693
"ENSMUSG00000045410",249,312,271,271,289,262
"ENSMUSG00000045411",574,648,573,682,631,627
"ENSMUSG00000045414",536,591,601,545,694,484
"ENSMUSG00000045417",0,0,0,0,0,0
"ENSMUSG00000045421",0,0,0,0,0,0
"ENSMUSG00000045427",205,191,167,175,225,193
"ENSMUSG00000045435",226,281,263,291,268,229
"ENSMUSG00000045438",484,488,439,567,448,477
"ENSMUSG00000045440",2,3,4,2,5,4
"ENSMUSG00000045441",12,19,27,6,21,10
"ENSMUSG00000045455",2,2,1,2,1,1
"ENSMUSG00000045463",0,0,0,0,0,0
"ENSMUSG00000045464",151,168,135,147,147,165
"ENSMUSG00000045466",75,80,65,91,59,77
"ENSMUSG00000045467",12,15,17,9,12,7
"ENSMUSG00000045471",0,0,0,1,0,0
"ENSMUSG00000045474",0,0,0,0,0,0
"ENSMUSG00000045475",0,0,0,0,0,0
"ENSMUSG00000045479",0,0,0,0,0,0
"ENSMUSG00000045482",2380,2385,2430,2586,2155,2341
"ENSMUSG00000045493",51,40,33,29,31,43
"ENSMUSG00000045498",137,115,116,109,113,127
"ENSMUSG00000045502",0,0,0,0,0,0
"ENSMUSG00000045503",211,189,192,214,203,200
"ENSMUSG00000045504",0,0,0,0,0,0
"ENSMUSG00000045506",3,3,4,5,1,2
"ENSMUSG00000045508",0,0,0,0,0,0
"ENSMUSG00000045509",8,4,4,9,4,8
"ENSMUSG00000045514",0,0,0,0,0,0
"ENSMUSG00000045515",671,644,598,750,711,658
"ENSMUSG00000045518",85,75,54,70,92,49
"ENSMUSG00000045519",248,299,250,278,311,279
"ENSMUSG00000045520",0,0,0,0,0,0
"ENSMUSG00000045521",4,3,9,3,6,4
"ENSMUSG00000045528",0,0,0,0,0,0
"ENSMUSG00000045532",4,5,2,9,7,5
"ENSMUSG00000045534",4,4,6,3,13,3
"ENSMUSG00000045538",43,56,49,90,54,67
"ENSMUSG00000045539",0,0,0,0,0,0
"ENSMUSG00000045540",0,0,0,0,0,0
"ENSMUSG00000045545",0,0,0,0,0,0
"ENSMUSG00000045546",249,353,312,371,319,281
"ENSMUSG00000045551",0,0,1,0,0,4
"ENSMUSG00000045555",2,3,5,4,8,0
"ENSMUSG00000045559",0,0,0,0,0,0
"ENSMUSG00000045566",0,0,0,0,1,0
"ENSMUSG00000045569",0,0,0,0,0,0
"ENSMUSG00000045573",22,17,18,14,10,18
"ENSMUSG00000045575",0,0,0,1,1,0
"ENSMUSG00000045576",382,366,338,383,381,357
"ENSMUSG00000045581",0,0,0,0,0,0
"ENSMUSG00000045584",0,0,0,0,0,0
"ENSMUSG00000045587",0,0,0,0,1,0
"ENSMUSG00000045589",863,994,910,900,689,925
"ENSMUSG00000045591",35,13,44,10,34,10
"ENSMUSG00000045594",67,82,92,68,66,81
"ENSMUSG00000045598",361,342,331,377,337,321
"ENSMUSG00000045608",1,2,0,1,0,0
"ENSMUSG00000045609",6,0,4,2,2,4
"ENSMUSG00000045613",180,116,159,93,99,85
"ENSMUSG00000045620",0,1,0,0,1,0
"ENSMUSG00000045624",652,698,667,662,648,621
"ENSMUSG00000045625",26,26,23,34,24,25
"ENSMUSG00000045629",2,0,0,5,0,0
"ENSMUSG00000045631",0,3,0,2,0,0
"ENSMUSG00000045636",1181,1429,1289,1570,1362,1391
"ENSMUSG00000045639",827,873,894,957,906,850
"ENSMUSG00000045648",123,191,132,144,125,196
"ENSMUSG00000045655",0,0,0,0,0,0
"ENSMUSG00000045657",59,74,61,91,74,84
"ENSMUSG00000045658",1473,1414,1405,1495,1131,1467
"ENSMUSG00000045659",67,92,108,82,63,91
"ENSMUSG00000045662",10,6,8,11,6,9
"ENSMUSG00000045664",58,64,33,54,63,73
"ENSMUSG00000045665",192,202,169,260,202,196
"ENSMUSG00000045667",15,19,19,12,12,19
"ENSMUSG00000045671",177,165,187,193,198,185
"ENSMUSG00000045672",5,4,4,4,6,8
"ENSMUSG00000045678",0,0,0,1,0,0
"ENSMUSG00000045679",94,82,81,54,105,73
"ENSMUSG00000045680",0,0,0,0,0,0
"ENSMUSG00000045684",0,0,0,0,0,0
"ENSMUSG00000045689",79,67,75,90,78,68
"ENSMUSG00000045690",9,15,23,21,18,16
"ENSMUSG00000045691",116,133,134,154,132,109
"ENSMUSG00000045693",0,0,0,0,0,0
"ENSMUSG00000045694",0,0,1,0,0,0
"ENSMUSG00000045699",5,4,3,5,4,1
"ENSMUSG00000045708",0,0,0,0,0,0
"ENSMUSG00000045709",0,0,0,0,0,0
"ENSMUSG00000045713",0,0,0,0,0,0
"ENSMUSG00000045725",11,7,5,16,8,9
"ENSMUSG00000045730",0,1,0,1,2,0
"ENSMUSG00000045731",594,570,415,732,438,618
"ENSMUSG00000045733",80,98,63,82,44,96
"ENSMUSG00000045744",0,0,0,0,0,0
"ENSMUSG00000045746",11,10,26,11,2,14
"ENSMUSG00000045750",0,0,0,0,0,0
"ENSMUSG00000045751",55,54,65,60,70,77
"ENSMUSG00000045752",150,124,99,145,105,118
"ENSMUSG00000045757",10,15,9,17,14,15
"ENSMUSG00000045761",1,2,2,1,0,1
"ENSMUSG00000045763",1408,1442,1439,1473,1438,1418
"ENSMUSG00000045767",2066,2382,2125,2261,2163,1958
"ENSMUSG00000045775",1,0,3,2,2,4
"ENSMUSG00000045776",505,517,527,627,563,617
"ENSMUSG00000045777",3,6,1,2,3,1
"ENSMUSG00000045780",0,0,0,0,0,0
"ENSMUSG00000045790",43,48,59,55,39,50
"ENSMUSG00000045792",0,0,0,0,0,0
"ENSMUSG00000045794",0,1,0,4,1,0
"ENSMUSG00000045795",143,131,110,156,137,130
"ENSMUSG00000045797",0,0,0,0,0,0
"ENSMUSG00000045799",5,11,11,8,12,3
"ENSMUSG00000045802",0,0,4,0,1,0
"ENSMUSG00000045812",0,0,0,0,0,0
"ENSMUSG00000045813",38,71,42,57,52,54
"ENSMUSG00000045815",0,0,0,1,2,2
"ENSMUSG00000045817",12,9,14,11,15,16
"ENSMUSG00000045822",129,95,126,126,124,125
"ENSMUSG00000045824",0,0,0,0,0,0
"ENSMUSG00000045826",8,7,6,7,13,6
"ENSMUSG00000045827",0,0,2,0,0,0
"ENSMUSG00000045835",0,0,3,0,0,0
"ENSMUSG00000045838",14,28,54,32,47,31
"ENSMUSG00000045842",0,0,0,0,0,0
"ENSMUSG00000045854",85,100,96,143,109,82
"ENSMUSG00000045867",107,116,114,130,79,113
"ENSMUSG00000045868",0,0,0,0,0,0
"ENSMUSG00000045871",215,268,215,295,248,247
"ENSMUSG00000045875",102,76,94,78,61,118
"ENSMUSG00000045876",40,58,56,54,49,66
"ENSMUSG00000045877",133,118,89,159,121,134
"ENSMUSG00000045883",0,0,0,0,0,0
"ENSMUSG00000045886",67,57,50,89,53,67
"ENSMUSG00000045896",373,387,346,462,395,352
"ENSMUSG00000045903",94,95,113,90,63,83
"ENSMUSG00000045912",70,63,48,70,56,54
"ENSMUSG00000045915",0,0,0,0,0,0
"ENSMUSG00000045917",21,43,28,28,16,31
"ENSMUSG00000045928",5,8,2,3,1,2
"ENSMUSG00000045929",29,22,20,16,14,32
"ENSMUSG00000045930",8,1,3,8,6,8
"ENSMUSG00000045932",11,17,21,13,9,22
"ENSMUSG00000045934",25,24,16,32,11,21
"ENSMUSG00000045942",2,3,1,2,0,6
"ENSMUSG00000045946",0,0,0,0,0,0
"ENSMUSG00000045948",95,82,71,111,70,90
"ENSMUSG00000045952",8,5,2,8,8,10
"ENSMUSG00000045954",8,9,6,10,3,8
"ENSMUSG00000045962",3784,3780,3954,3994,3919,3818
"ENSMUSG00000045967",207,246,195,190,178,225
"ENSMUSG00000045968",1,5,1,0,2,2
"ENSMUSG00000045969",330,319,327,353,305,310
"ENSMUSG00000045973",621,694,681,771,675,635
"ENSMUSG00000045975",236,309,231,220,227,231
"ENSMUSG00000045980",206,162,148,193,154,170
"ENSMUSG00000045983",1777,1849,1819,2004,1739,1846
"ENSMUSG00000045989",0,1,2,0,3,1
"ENSMUSG00000045991",2942,2486,2709,3122,3991,2335
"ENSMUSG00000045994",1630,1766,1484,1771,1410,1741
"ENSMUSG00000045996",16,17,10,7,12,16
"ENSMUSG00000045999",792,793,373,933,714,774
"ENSMUSG00000046000",0,0,1,0,0,0
"ENSMUSG00000046005",10,21,16,15,18,20
"ENSMUSG00000046006",1,1,2,3,0,2
"ENSMUSG00000046008",2,1,2,2,5,0
"ENSMUSG00000046010",314,341,348,356,388,293
"ENSMUSG00000046016",0,0,0,0,1,0
"ENSMUSG00000046020",281,301,275,307,237,285
"ENSMUSG00000046027",28,43,19,49,42,30
"ENSMUSG00000046031",2,1,2,5,2,0
"ENSMUSG00000046032",965,1066,965,1095,1047,1001
"ENSMUSG00000046034",94,104,111,135,120,109
"ENSMUSG00000046041",0,0,0,0,0,0
"ENSMUSG00000046049",0,0,1,0,0,1
"ENSMUSG00000046056",40,56,61,65,36,66
"ENSMUSG00000046057",0,0,0,0,0,0
"ENSMUSG00000046058",199,243,248,262,222,233
"ENSMUSG00000046062",814,879,675,989,890,798
"ENSMUSG00000046070",1,0,2,1,0,0
"ENSMUSG00000046076",0,0,0,0,0,0
